State 	number of theatres	  population
AL			    2						    	5,098,746
AK			    2						    	732,984
AZ			    5						    	7,453,517
AR			    0						    	3,063,152
CA			    47						    38,915,693
CO			    7						    	5,868,555
CT			    7						    	3,629,055
DE			    2						    	1,031,985
FL			    25						    22,661,577
GA			    2						    	11,037,723
HI			    1						    	1,433,238
ID			    4						    	1,973,752
IL			    9						    	12,477,595
IN			    3						    	6,852,542
IA			    4						    	3,203,345
KS			    3						    	2,936,378
KY			    4						    	4,518,031
LA			    3						    	4,553,384
ME			    8						    	1,393,442
MD			    3						    	6,154,710
MA			    18						    6,974,258
MI			    12						    10,030,722
MN			    4						    	5,722,897
MS			    1						    	2,930,528
MO			    9						    	6,186,091
MT			    3						    	1,139,507
NE			    3						    	1,972,292
NH			    4						    	1,402,957
NJ			    6						    	9,255,437
NM			    5						    	2,110,011
NY			    40						    19,496,810
NV			    0						    	3,209,142
NC			    10						    10,832,061
ND			    1						    	780,588
OH			    14						    11,747,774
OK			    2						    	4,048,375
OR			    11						    4,223,973
PA			    15						    12,931,957
RI			    3						    	1,090,483
SC			    2						    	5,372,002
SD			    1						    	923,484
TN			    1						    	7,134,327
TX			    7						    	30,500,280
UT			    4						    	3,422,487
VT			    1						    	647,156
VA			    5						    	8,709,873
WA			    16						    7,830,827
DC			    3						    	674,815
WV			    1						    	1,764,786
WI			    2						    	5,904,977
WY			    0						    	583,279
